time;dataset;alpha;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;attack method;attack arg;num attack clients;client number;contribution
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.7;1;0;0.0053319573443411095
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.7;1;1;0.1672467125787911
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.7;1;2;0.2617167586617404
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.7;1;3;0.24453008494413075
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.7;1;4;0.0053319573443411095
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.7;1;5;0.1205613717758034
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.7;1;6;0.13165470584792283
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.7;1;7;0.03237645150292923
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.7;1;0;0.08136189529025262
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.7;1;1;0.1379278028424672
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.7;1;2;0.32293686081348183
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.7;1;3;0.30131831387064345
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.7;1;4;0.015294807805121935
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.7;1;5;0.021436195445920347
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.7;1;6;-0.02392225002110837
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.7;1;7;0.09677137395322088
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;LeastCore;random data generation;0.7;1;0;0.02083333333333337
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;LeastCore;random data generation;0.7;1;1;0.15208333333333335
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;LeastCore;random data generation;0.7;1;2;0.2979166666666667
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;LeastCore;random data generation;0.7;1;3;0.27708333333333335
2024-03-30 02:04:21;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;LeastCore;random data generation;0.7;1;4;0.01041666666666674
