time;dataset;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value functions;method;process time
2024-03-31 06:17:22;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;258450.255295739
2024-03-31 06:17:25;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;259393.560049322
2024-03-31 06:18:02;tictactoe;label skew;6695;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;253972.771677521
2024-03-31 06:18:29;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;257038.809041232
2024-03-31 06:18:37;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;654030.598158753
2024-03-31 06:19:27;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;662623.350460943
2024-03-31 06:22:07;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;706597.238544611
2024-03-31 06:23:08;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;712055.323810226
2024-03-31 06:23:32;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;254669.565547421
2024-03-31 06:23:33;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;258589.358136216
2024-03-31 06:24:23;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;257289.824303517
2024-03-31 06:24:30;tictactoe;label skew;6696;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;256422.58376113
2024-03-31 06:33:46;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;654393.750545097
2024-03-31 06:35:03;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;661708.44493433
2024-03-31 06:39:45;bank;label skew;6695;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;702307.064410768
2024-03-31 06:40:13;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;736573.75839465
2024-03-31 06:48:58;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;667586.348660053
2024-03-31 06:49:10;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;683524.225896538
2024-03-31 06:58:47;bank;label skew;6696;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;731496.116570384
2024-03-31 06:59:09;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MultiRounds;778510.743567767
