time;distribution;dataset;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;alpha;x;y;remove topic;num_removed_client
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.0;1.0;best;3.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.125;0.9029428958892822;best;1.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.25;0.8259400725364685;best;2.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.375;0.6864597797393799;best;5.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.5;0.5825031399726868;best;6.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.625;0.24977056682109833;best;7.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.75;0.13246749341487885;best;0.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.875;0.10749680548906326;best;4.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.0;1.0;worst;4.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.125;1.0;worst;0.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.25;1.0000001192092896;worst;7.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.375;0.9999994039535522;worst;6.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.5;0.9986542463302612;worst;5.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.625;0.9964017868041992;worst;2.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.75;0.9796881079673767;worst;1.0
2024-03-30 03:02:08;quantity skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.35;0.875;0.9058093428611755;worst;3.0
2024-03-30 03:02:10;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;0.0;1.0;best;3.0
2024-03-30 03:02:10;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;0.125;0.9012224674224854;best;2.0
2024-03-30 03:02:10;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;0.25;0.6196012496948242;best;1.0
2024-03-30 03:02:10;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;0.375;0.471468448638916;best;5.0
2024-03-30 03:02:10;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;0.5;0.40447095036506653;best;6.0
2024-03-30 03:02:10;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;0.625;0.2949638068675995;best;7.0
