time;distribution;dataset;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;alpha;attack_method;attack_arg;num_attack_clients;x;y;remove topic;num_removed_client
2024-03-30 03:06:18;label skew;dota2;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.5;0.9809365272521973;worst;6.0
2024-03-30 03:06:18;label skew;dota2;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.625;0.9793652296066284;worst;5.0
2024-03-30 03:06:18;label skew;dota2;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.75;0.9663252234458923;worst;2.0
2024-03-30 03:06:18;label skew;dota2;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.875;0.81522536277771;worst;3.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.0;1.0;best;3.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.125;0.714370846748352;best;2.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.25;0.44629794359207153;best;1.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.375;0.30239081382751465;best;5.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.5;0.2670826017856598;best;7.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.625;0.26180747151374817;best;6.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.75;0.21321171522140503;best;4.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.875;0.12919822335243225;best;0.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.0;1.0;worst;0.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.125;0.9999334812164307;worst;4.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.25;0.999735414981842;worst;6.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.375;0.9403648376464844;worst;7.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.5;0.9425796866416931;worst;5.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.625;0.8593361973762512;worst;1.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.75;0.6696536540985107;worst;2.0
2024-03-30 03:06:18;label skew;bank;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.875;0.6356552839279175;worst;3.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.0;1.0;best;3.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.125;0.5842581391334534;best;2.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.25;0.1349019706249237;best;5.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.375;-0.055479392409324646;best;6.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.5;-0.12611602246761322;best;7.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.625;-0.14019322395324707;best;4.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.75;-0.1441168636083603;best;1.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.875;-0.08725647628307343;best;0.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.0;1.0;worst;0.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.125;0.9994502067565918;worst;1.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.25;0.6947868466377258;worst;4.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.375;0.6913599967956543;worst;7.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.5;0.6889664530754089;worst;6.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.625;0.7193261981010437;worst;5.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.75;0.7395943999290466;worst;2.0
2024-03-30 03:06:19;label skew;adult;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.875;0.7076361775398254;worst;3.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.0;1.0;best;2.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.125;0.5324446558952332;best;3.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.25;0.2715889811515808;best;5.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.375;0.07979248464107513;best;6.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.5;-0.045343294739723206;best;7.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.625;-0.05047440901398659;best;4.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.75;-0.05032425746321678;best;1.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.875;-0.06312449276447296;best;0.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.0;1.0;worst;0.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.125;0.9981244206428528;worst;1.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.25;0.9669365882873535;worst;4.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.375;0.9671626091003418;worst;7.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.5;0.9635800719261169;worst;6.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.625;0.9756152033805847;worst;5.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.75;0.9440572261810303;worst;3.0
2024-03-30 03:06:41;label skew;tictactoe;6695;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.875;0.8194975256919861;worst;2.0
2024-03-30 03:06:56;label skew;bank;6695;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.0;1.0;best;2.0
2024-03-30 03:06:56;label skew;bank;6695;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.125;0.7225920557975769;best;3.0
2024-03-30 03:06:56;label skew;bank;6695;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0.8;label flip;0.8;2;0.25;0.49239781498908997;best;5.0
