time;dataset;alpha;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;attack method;attack arg;num attack clients;client number;contribution
2024-03-30 03:16:04;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;label flip;0.3;1;0;-0.020332742482423782
2024-03-30 03:16:04;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;label flip;0.3;1;1;0.24005289375782013
2024-03-30 03:16:04;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;label flip;0.3;1;2;0.16918626427650452
2024-03-30 03:16:04;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;label flip;0.3;1;3;0.3159307837486267
2024-03-30 03:16:04;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;label flip;0.3;1;4;0.000383644801331684
2024-03-30 03:16:04;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;label flip;0.3;1;5;0.14864987134933472
2024-03-30 03:16:04;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;label flip;0.3;1;6;0.10278309881687164
2024-03-30 03:16:04;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;label flip;0.3;1;7;0.04334627464413643
2024-03-30 03:16:05;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;random data generation;0.3;1;0;-0.034986741840839386
2024-03-30 03:16:05;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;random data generation;0.3;1;1;0.24268338084220886
2024-03-30 03:16:05;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;random data generation;0.3;1;2;0.1733855903148651
2024-03-30 03:16:05;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;random data generation;0.3;1;3;0.320770263671875
2024-03-30 03:16:05;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;random data generation;0.3;1;4;0.0012050820514559746
2024-03-30 03:16:05;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;random data generation;0.3;1;5;0.14958083629608154
2024-03-30 03:16:05;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;random data generation;0.3;1;6;0.10424206405878067
2024-03-30 03:16:05;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;random data generation;0.3;1;7;0.04311955347657204
2024-03-30 03:16:06;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;random data generation;0.3;1;0;-0.019664417952299118
2024-03-30 03:16:06;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;random data generation;0.3;1;1;0.19063279032707214
2024-03-30 03:16:06;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;random data generation;0.3;1;2;0.30450233817100525
2024-03-30 03:16:06;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;random data generation;0.3;1;3;0.4347287118434906
2024-03-30 03:16:06;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;random data generation;0.3;1;4;-0.0007727103657089174
2024-03-30 03:16:06;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;random data generation;0.3;1;5;0.05294741690158844
2024-03-30 03:16:06;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;random data generation;0.3;1;6;0.027252409607172012
2024-03-30 03:16:06;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;random data generation;0.3;1;7;0.010373440571129322
2024-03-30 03:16:08;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;label flip;0.3;1;0;-0.0009417110122740269
2024-03-30 03:16:08;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;label flip;0.3;1;1;0.19074255228042603
2024-03-30 03:16:08;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;label flip;0.3;1;2;0.2946434020996094
2024-03-30 03:16:08;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;label flip;0.3;1;3;0.42872491478919983
2024-03-30 03:16:08;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;label flip;0.3;1;4;-0.0025063753128051758
2024-03-30 03:16:08;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;label flip;0.3;1;5;0.05351335555315018
2024-03-30 03:16:08;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;label flip;0.3;1;6;0.028516734018921852
2024-03-30 03:16:08;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;label flip;0.3;1;7;0.00730702793225646
2024-03-30 03:16:24;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;random data generation;0.3;1;0;0.05675958842039108
2024-03-30 03:16:24;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;random data generation;0.3;1;1;0.06602448970079422
2024-03-30 03:16:24;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;random data generation;0.3;1;2;0.4611508846282959
2024-03-30 03:16:24;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;random data generation;0.3;1;3;0.17600229382514954
2024-03-30 03:16:24;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;random data generation;0.3;1;4;0.027913913130760193
2024-03-30 03:16:24;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;random data generation;0.3;1;5;0.1235019788146019
2024-03-30 03:16:24;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;random data generation;0.3;1;6;0.07300420105457306
2024-03-30 03:16:24;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;random data generation;0.3;1;7;0.015642469748854637
2024-03-30 03:16:26;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;label flip;0.3;1;0;0.03440685570240021
2024-03-30 03:16:26;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;label flip;0.3;1;1;0.06769561022520065
2024-03-30 03:16:26;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;label flip;0.3;1;2;0.47022920846939087
2024-03-30 03:16:26;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;label flip;0.3;1;3;0.1783314347267151
2024-03-30 03:16:26;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;label flip;0.3;1;4;0.02796899899840355
2024-03-30 03:16:26;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;label flip;0.3;1;5;0.1306363344192505
2024-03-30 03:16:26;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;label flip;0.3;1;6;0.07701022177934647
2024-03-30 03:16:26;dota2;0.8;label skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;label flip;0.3;1;7;0.013721474446356297
2024-03-30 03:16:40;bank;0.8;label skew;6695;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;label flip;0.3;1;0;0.022130919620394707
2024-03-30 03:16:40;bank;0.8;label skew;6695;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;label flip;0.3;1;1;0.06611542403697968
2024-03-30 03:16:40;bank;0.8;label skew;6695;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;label flip;0.3;1;2;0.4127650260925293
2024-03-30 03:16:40;bank;0.8;label skew;6695;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;label flip;0.3;1;3;0.1770094484090805
2024-03-30 03:16:40;bank;0.8;label skew;6695;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;label flip;0.3;1;4;0.034928061068058014
2024-03-30 03:16:40;bank;0.8;label skew;6695;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;label flip;0.3;1;5;0.1447991132736206
