time;distribution;dataset;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;alpha;attack_method;attack_arg;num_attack_clients;x;y;remove topic;num_removed_client
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.0;0.9843749999999999;best;2.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.125;0.9843749999999999;best;3.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.25;0.923076923076923;best;5.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.375;0.9312977099236641;best;6.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.5;0.8571428571428571;best;7.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.625;0.8157894736842105;best;1.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.75;0.11940298507462686;best;4.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.875;0.0;best;0.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.0;0.9843749999999999;worst;0.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.125;0.9843749999999999;worst;4.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.25;0.9843749999999999;worst;1.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.375;0.9921259842519685;worst;7.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.5;0.9843749999999999;worst;6.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.625;0.9843749999999999;worst;5.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.75;0.9843749999999999;worst;3.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1;ShapleyValue;0.8;low quality data;0.8;2;0.875;0.9344262295081968;worst;2.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.0;0.9765625;best;2.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.125;0.9765625;best;3.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.25;0.8808933002481389;best;7.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.375;0.8045337315053617;best;5.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.5;0.7463496036712558;best;6.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.625;0.6921667430142007;best;1.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.75;0.3237014925373134;best;4.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.875;0.2558139534883721;best;0.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.0;0.9765625;worst;0.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.125;0.9765625;worst;4.0
2023-06-27 18:23:44;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;f1_macro;ShapleyValue;0.8;low quality data;0.8;2;0.25;0.9765625;worst;1.0
