time;distribution;dataset;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;alpha;x;y;remove topic;num_removed_client
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.375;7999.0;best;6.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.5;3555.0;best;1.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.625;579.0;best;0.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.75;42.0;best;7.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.875;4.0;best;4.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.0;40688.0;worst;4.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.125;40684.0;worst;7.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.25;40646.0;worst;0.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.375;40109.0;worst;1.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.5;37133.0;worst;6.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.625;32689.0;worst;3.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.75;28004.0;worst;5.0
2023-06-15 21:23:38;quantity skew;bank;6695;8;BankMLP;0.001;20;8;64;data_quantity;ShapleyValue;0.35;0.875;20167.0;worst;2.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.0;27144.0;best;2.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.125;13833.0;best;5.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.25;8580.0;best;3.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.375;5425.0;best;6.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.5;2432.0;best;1.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.625;423.0;best;0.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.75;34.0;best;7.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.875;3.0;best;4.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.0;27144.0;worst;4.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.125;27141.0;worst;7.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.25;27110.0;worst;0.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.375;26721.0;worst;1.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.5;24712.0;worst;6.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.625;21719.0;worst;3.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.75;18564.0;worst;5.0
2023-06-15 21:23:38;quantity skew;adult;6695;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.875;13311.0;worst;2.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.0;27145.0;best;1.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.125;18987.0;best;7.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.25;11086.0;best;2.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.375;5371.0;best;0.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.5;2357.0;best;6.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.625;1155.0;best;5.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.75;222.0;best;3.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.875;20.0;best;4.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.0;27145.0;worst;4.0
2023-06-15 21:23:39;quantity skew;adult;6696;8;AdultMLP;0.001;25;24;64;data_quantity;ShapleyValue;0.365;0.125;27125.0;worst;3.0
