time;distribution;dataset;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;alpha;attack_method;attack_arg;x;y;remove topic;num_removed_client
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.75;521.0;worst;3.0
2023-06-24 21:22:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.875;329.0;worst;2.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.0;862.0;best;1.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.125;590.0;best;0.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.25;411.0;best;5.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.375;304.0;best;6.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.5;220.0;best;7.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.625;138.0;best;2.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.75;65.0;best;3.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.875;8.0;best;4.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.0;862.0;worst;4.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.125;854.0;worst;3.0
2023-06-24 21:22:50;label skew;tictactoe;6696;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.3;0.25;797.0;worst;2.0
